start_date,end_date,farmplot_batch_id,plot_name,rid_area_rai,analysis_area_rai,ldd_area_rai,total_wn_efficiency_4crop_pspa,total_wn_forecast_4crop_next7_pspa,total_wn_forecast_4crop_next14_pspa,area_rice_rai,area_maize_rai,area_cassava_rai,area_sugarcane_rai,coords
2026-05-11,2026-05-17,5c388852-6015-4cf6-8714-3c435b8ae317,rid4,3265170.64,1719780.75,2506961,118.186256,145.167904,179.827871,1506005,40878,116.25,172781.5,94311ed7-0d46-4a5b-84a8-e6a6a231fd68
2026-05-11,2026-05-17,df4b8eda-7cc0-40fb-9684-c01557ddd87a,โครงการชลประทานกำแพงเพชร,191532.51,102688,145944,7.855048,9.423536,11.095305,91816,740.75,9.75,10121.5,3aa22ee6-f0d9-473b-adf6-26a2d448cb54
2026-05-11,2026-05-17,10fabd4d-633b-4448-bc25-4dc3aa4cdee8,โครงการส่งน้ำและบำรุงรักษาสุโขทัย,67576.88,41165.75,59971,2.698512,3.257068,4.191677,33884.75,0,1.75,7279.25,56211a7c-3e6d-44c4-8ba7-5c8fab401b69
2026-05-11,2026-05-17,e98d2019-210d-497e-9884-d530f1e717b8,โครงการชลประทานสุโขทัย,343295.44,212985,300305,13.479047,17.00165,21.739542,200312.25,223.75,14,12435,e72b7aec-7c94-4da4-b81c-fc3578f883a3
2026-05-11,2026-05-17,bce73258-fa11-4827-ba5d-937c3b471a12,โครงการส่งน้ำและบำรุงรักษาแม่ยม,197061.83,92770.75,179060,6.164873,7.197307,9.214959,79582,8272.75,15.75,4900.25,2d62a49f-0bac-40e9-be7c-e7d04269a590
2026-05-11,2026-05-17,74513790-a4a8-4ed3-950c-5ff147827f20,โครงการส่งน้ำและบำรุงรักษาวังยาง - หนองขวัญ,706518.34,310818.25,503419,20.969572,25.543791,32.567278,282399.5,3560.75,12,24846,aaae9121-8990-4f0f-95f8-a9b168b538a7
2026-05-11,2026-05-17,ee44f6fc-c1aa-44a0-8f61-fd2e82befad6,โครงการชลประทานแพร่,80990.95,40822,79765,2.551655,2.986259,3.887726,31974.25,5461,9.25,3377.5,eef6fb97-0286-41e7-a364-473f4629e71d
2026-05-11,2026-05-17,a0292383-4653-4d0c-b8f0-cf1ddd5f3bb1,โครงการชลประทานตาก,76813.33,45526,50724,3.319333,3.644146,4.411495,27424.25,14669.25,5.5,3427,f1abf579-d5ec-434b-b780-09496db3078c
2026-05-11,2026-05-17,b6e7bd3b-f170-4408-bbec-e8ee54e3d382,โครงการส่งน้ำและบำรุงรักษาท่อทองแดง,810012.63,454235.5,601044,29.67819,38.098873,47.098246,404894.25,3729.5,29.5,45582.25,c7544910-d6b5-44b6-a737-a904249f5352
2026-05-11,2026-05-17,a1b187ac-b5f4-4ced-8591-b4b3cc09d63a,โครงการส่งน้ำและบำรุงรักษาวังบัว,844134.56,451589.75,628858,33.511618,40.388571,48.702024,382765.75,4331.25,19.75,64473,5b0f75b1-6958-460a-91a5-bc71397b0d6b
