id,text,referenceAnswer,keyPoints,questionScope
1,โครงการชลประทานตากมีปริมาณการใช้น้ำของพืชวันนี้เป็นยังไง,"ตอบจาก database (simsat) ของ ""โครงการชลประทานตาก"" — ในช่วงสัปดาห์ปัจจุบัน — โดยรายงานค่า <ตัวเลข> ลบ.ม./วินาที — ยืนยันหน่วยให้ตรงกับคำถาม และสรุปสั้นกระชับ",ชลประทานตาก | ปริมาณการใช้น้ำของพืช | วันนี้ | ลบ.ม./วิ,specific
2,โครงการชลประทานตากมีปริมาณการใช้น้ำของพืชช่วงนี้เป็นยังไง,"ตอบจาก database (simsat) ของ ""โครงการชลประทานตาก"" — ในช่วงสัปดาห์ปัจจุบัน — โดยรายงานค่า <ตัวเลข> ลบ.ม./วินาที — ยืนยันหน่วยให้ตรงกับคำถาม และสรุปสั้นกระชับ",ชลประทานตาก | ปริมาณการใช้น้ำของพืช | ช่วงนี้ | ลบ.ม./วิ,specific
3,โครงการชลประทานตากมีปริมาณการใช้น้ำของพืชสัปดาห์นี้เป็นยังไง,"ตอบจาก database (simsat) ของ ""โครงการชลประทานตาก"" — ในช่วงสัปดาห์ปัจจุบัน — โดยรายงานค่า <ตัวเลข> ลบ.ม./วินาที — ยืนยันหน่วยให้ตรงกับคำถาม และสรุปสั้นกระชับ",ชลประทานตาก | ปริมาณการใช้น้ำของพืช | สัปดาห์นี้| ลบ.ม./วิ,specific
4,โครงการชลประทานตากมีปริมาณการใช้น้ำของพืชเดือนนี้เป็นยังไง,"ตอบจาก database (simsat) ของ ""โครงการชลประทานตาก"" — ในช่วงเดือนปัจจุบัน — โดยรายงานค่า <ตัวเลข> ลบ.ม./วินาที — ยืนยันหน่วยให้ตรงกับคำถาม และสรุปสั้นกระชับ",ชลประทานตาก | ปริมาณการใช้น้ำของพืช | เดือนนี้ | ลบ.ม./วิ,specific
5,โครงการชลประทานตากมีปริมาณการใช้น้ำของพืชปีนี้เป็นยังไง,"ตอบจาก database (simsat) ของ ""โครงการชลประทานตาก"" — ในช่วงปีปัจจุบัน — โดยรายงานค่า <ตัวเลข> ลบ.ม./วินาที — ยืนยันหน่วยให้ตรงกับคำถาม และสรุปสั้นกระชับ",ชลประทานตาก | ปริมาณการใช้น้ำของพืช | ปีนี้ | ลบ.ม./วิ,specific
6,โครงการชลประทานตากมีปริมาณการใช้น้ำของพืชปีที่แล้วเป็นยังไง,"ตอบจาก database (simsat) ของ ""โครงการชลประทานตาก"" — ในช่วงปีที่ผ่านมา — โดยรายงานค่า <ตัวเลข> ลบ.ม./วินาที — ยืนยันหน่วยให้ตรงกับคำถาม และสรุปสั้นกระชับ",ชลประทานตาก | ปริมาณการใช้น้ำของพืช | ปีที่แล้ว | ลบ.ม./วิ,specific
7,โครงการส่งน้ำและบำรุงรักษาวังบัวมีปริมาณการใช้น้ำของพืชวันนี้เป็นยังไง,"ตอบจาก database (simsat) ของ ""โครงการส่งน้ำและบำรุงรักษาวังบัว"" — ในช่วงสัปดาห์ปัจจุบัน — โดยรายงานค่า <ตัวเลข> ลบ.ม./วินาที — ยืนยันหน่วยให้ตรงกับคำถาม และสรุปสั้นกระชับ",วังบัว | ปริมาณการใช้น้ำของพืช | วันนี้ | ลบ.ม./วิ,specific
8,โครงการส่งน้ำและบำรุงรักษาวังบัวมีปริมาณการใช้น้ำของพืชช่วงนี้เป็นยังไง,"ตอบจาก database (simsat) ของ ""โครงการส่งน้ำและบำรุงรักษาวังบัว"" — ในช่วงสัปดาห์ปัจจุบัน — โดยรายงานค่า <ตัวเลข> ลบ.ม./วินาที — ยืนยันหน่วยให้ตรงกับคำถาม และสรุปสั้นกระชับ",วังบัว | ปริมาณการใช้น้ำของพืช | ช่วงนี้ | ลบ.ม./วิ,specific
9,โครงการส่งน้ำและบำรุงรักษาวังบัวมีปริมาณการใช้น้ำของพืชสัปดาห์นี้เป็นยังไง,"ตอบจาก database (simsat) ของ ""โครงการส่งน้ำและบำรุงรักษาวังบัว"" — ในช่วงสัปดาห์ปัจจุบัน — โดยรายงานค่า <ตัวเลข> ลบ.ม./วินาที — ยืนยันหน่วยให้ตรงกับคำถาม และสรุปสั้นกระชับ",วังบัว | ปริมาณการใช้น้ำของพืช | สัปดาห์นี้| ลบ.ม./วิ,specific
10,โครงการส่งน้ำและบำรุงรักษาวังบัวมีปริมาณการใช้น้ำของพืชเดือนนี้เป็นยังไง,"ตอบจาก database (simsat) ของ ""โครงการส่งน้ำและบำรุงรักษาวังบัว"" — ในช่วงเดือนปัจจุบัน — โดยรายงานค่า <ตัวเลข> ลบ.ม./วินาที — ยืนยันหน่วยให้ตรงกับคำถาม และสรุปสั้นกระชับ",วังบัว | ปริมาณการใช้น้ำของพืช | เดือนนี้ | ลบ.ม./วิ,specific
11,โครงการส่งน้ำและบำรุงรักษาวังบัวมีปริมาณการใช้น้ำของพืชปีนี้เป็นยังไง,"ตอบจาก database (simsat) ของ ""โครงการส่งน้ำและบำรุงรักษาวังบัว"" — ในช่วงปีปัจจุบัน — โดยรายงานค่า <ตัวเลข> ลบ.ม./วินาที — ยืนยันหน่วยให้ตรงกับคำถาม และสรุปสั้นกระชับ",วังบัว | ปริมาณการใช้น้ำของพืช | ปีนี้ | ลบ.ม./วิ,specific
