ID,ประเภท,คำถาม,แนวทางคำตอบ,ประเด็นสำคัญ
1,v_trans_all_point,เขื่อนภูมิพลปริมาณน้ำระบายสะสม เมื่อวานอยู่ที่เท่าไหร่?,ดึงข้อมูล outflow_cumulative_year ของ เขื่อนภูมิพล จาก v_trans_all ในช่วงเมื่อวาน (ข้อมูลย้อนหลัง 1 วัน) แล้วแสดงค่าปริมาณน้ำระบายสะสม หน่วย ล้าน ลบ.ม.,เขื่อน|ภูมิพล|น้ำระบายสะสม|เมื่อวาน|ลบ.ม.
2,v_trans_all_point,เขื่อนภูมิพลปริมาณน้ำเก็บกักสูงสุดเมื่อวานอยู่ที่เท่าไหร่?,ดึงข้อมูล qstore ของ เขื่อนภูมิพล จาก v_trans_all ในช่วงเมื่อวาน (ข้อมูลย้อนหลัง 1 วัน) แล้วแสดงค่าปริมาณน้ำเก็บกักสูงสุด หน่วย ล้าน ลบ.ม.,เขื่อน|ภูมิพล|น้ำเก็บกักสูงสุด|เมื่อวาน|ลบ.ม.
3,v_trans_all_point,เขื่อนภูมิพลปริมาณความจุสูงสุดวันนี้อยู่ที่เท่าไหร่?,ดึงข้อมูล qmax ของ เขื่อนภูมิพล จาก v_trans_all ในช่วงวันนี้ (ข้อมูลล่าสุดของวันนี้) แล้วแสดงค่าปริมาณความจุสูงสุด หน่วย ล้าน ลบ.ม.,เขื่อน|ภูมิพล|ความจุสูงสุด|วันนี้|ลบ.ม.
4,v_trans_all_point,เขื่อนภูมิพลปริมาณน้ำเก็บกักวันนี้อยู่ที่เท่าไหร่?,ดึงข้อมูล qstore_curr ของ เขื่อนภูมิพล จาก v_trans_all ในช่วงวันนี้ (ข้อมูลล่าสุดของวันนี้) แล้วแสดงค่าปริมาณน้ำเก็บกักวันนี้ หน่วย ล้าน ลบ.ม.,เขื่อน|ภูมิพล|น้ำเก็บกัก|วันนี้|ลบ.ม.
5,v_trans_all_point,เขื่อนภูมิพลปริมาณน้ำไหลเข้าสะสม เดือนที่แล้วอยู่ที่เท่าไหร่?,ดึงข้อมูล inflow_cumulative_year ของ เขื่อนภูมิพล จาก v_trans_all ในช่วงเดือนที่แล้ว (ข้อมูลย้อนหลัง 30 วัน) แล้วแสดงค่าปริมาณน้ำไหลเข้าสะสม หน่วย ล้าน ลบ.ม.,เขื่อน|ภูมิพล|น้ำไหลเข้าสะสม|เดือนที่แล้ว|ลบ.ม.
6,v_trans_all_point,เขื่อนแม่มอกปริมาณความจุสูงสุดวันนี้อยู่ที่เท่าไหร่?,ดึงข้อมูล qmax ของ เขื่อนแม่มอก จาก v_trans_all ในช่วงวันนี้ (ข้อมูลล่าสุดของวันนี้) แล้วแสดงค่าปริมาณความจุสูงสุด หน่วย ล้าน ลบ.ม.,เขื่อน|แม่มอก|ความจุสูงสุด|วันนี้|ลบ.ม.
7,v_trans_all_point,เขื่อนแม่มอกปริมาณน้ำระบายสะสม เมื่อวานอยู่ที่เท่าไหร่?,ดึงข้อมูล outflow_cumulative_year ของ เขื่อนแม่มอก จาก v_trans_all ในช่วงเมื่อวาน (ข้อมูลย้อนหลัง 1 วัน) แล้วแสดงค่าปริมาณน้ำระบายสะสม หน่วย ล้าน ลบ.ม.,เขื่อน|แม่มอก|น้ำระบายสะสม|เมื่อวาน|ลบ.ม.
8,v_trans_all_point,เขื่อนแม่มอกปริมาณน้ำเก็บกักสูงสุดเดือนที่แล้วอยู่ที่เท่าไหร่?,ดึงข้อมูล qstore ของ เขื่อนแม่มอก จาก v_trans_all ในช่วงเดือนที่แล้ว (ข้อมูลย้อนหลัง 30 วัน) แล้วแสดงค่าปริมาณน้ำเก็บกักสูงสุด หน่วย ล้าน ลบ.ม.,เขื่อน|แม่มอก|น้ำเก็บกักสูงสุด|เดือนที่แล้ว|ลบ.ม.
9,v_trans_all_point,เขื่อนแม่มอกระดับน้ำเมื่อวานอยู่ที่เท่าไหร่?,ดึงข้อมูล ulevel_curr ของ เขื่อนแม่มอก จาก v_trans_all ในช่วงเมื่อวาน (ข้อมูลย้อนหลัง 1 วัน) แล้วแสดงค่าระดับน้ำวันนี้ หน่วย ม.,เขื่อน|แม่มอก|ระดับน้ำ|เมื่อวาน|ม.
10,v_trans_all_point,เขื่อนแม่มอกปริมาณน้ำระบายเดือนที่แล้วอยู่ที่เท่าไหร่?,ดึงข้อมูล outflow_curr ของ เขื่อนแม่มอก จาก v_trans_all ในช่วงเดือนที่แล้ว (ข้อมูลย้อนหลัง 30 วัน) แล้วแสดงค่าปริมาณน้ำระบายวันนี้ หน่วย ล้าน ลบ.ม.,เขื่อน|แม่มอก|น้ำระบาย|เดือนที่แล้ว|ลบ.ม.
11,v_trans_all_point,อ่างเก็บน้ำคลองข้างในปริมาณน้ำใช้การสูงสุดวันนี้เป็นเท่าไหร่?,ดึงข้อมูล qusage ของ อ่างเก็บน้ำคลองข้างใน จาก v_trans_all ในช่วงวันนี้ (ข้อมูลล่าสุดของวันนี้) แล้วแสดงค่าปริมาณน้ำใช้การสูงสุด หน่วย ล้าน ลบ.ม.,อ่างเก็บน้ำ|คลองข้างใน|น้ำใช้การสูงสุด|วันนี้|ลบ.ม.
12,v_trans_all_point,อ่างเก็บน้ำคลองข้างในระดับน้ำเดือนที่แล้วเป็นเท่าไหร่?,ดึงข้อมูล ulevel_curr ของ อ่างเก็บน้ำคลองข้างใน จาก v_trans_all ในช่วงเดือนที่แล้ว (ข้อมูลย้อนหลัง 30 วัน) แล้วแสดงค่าระดับน้ำวันนี้ หน่วย ม.,อ่างเก็บน้ำ|คลองข้างใน|ระดับน้ำ|เดือนที่แล้ว|ม.
13,v_trans_all_point,อ่างเก็บน้ำคลองข้างในปริมาณน้ำใช้การวันนี้เป็นเท่าไหร่?,ดึงข้อมูล qusage_curr ของ อ่างเก็บน้ำคลองข้างใน จาก v_trans_all ในช่วงวันนี้ (ข้อมูลล่าสุดของวันนี้) แล้วแสดงค่าปริมาณน้ำใช้การวันนี้ หน่วย ล้าน ลบ.ม.,อ่างเก็บน้ำ|คลองข้างใน|น้ำใช้การ|วันนี้|ลบ.ม.
