id,text,referenceAnswer,keyPoints,questionScope
G1,เกษตรกรขอใช้น้ำชลประทานได้อย่างไร?,เกษตรกรต้องยื่นคำขอใช้น้ำตามระเบียบกรมชลประทาน ผ่านหน่วยงานที่เกี่ยวข้อง ระบุพื้นที่และวัตถุประสงค์ ชำระค่าธรรมเนียมตามที่กำหนด และปฏิบัติตามเงื่อนไขการใช้น้ำ,ยื่นคำขอตามระเบียบ|ระบุพื้นที่และวัตถุประสงค์|ชำระค่าธรรมเนียมและปฏิบัติตามเงื่อนไข,
G2,กลุ่มผู้ใช้น้ำชลประทาน (JMC) คืออะไร มีบทบาทอย่างไร?,กลุ่มผู้ใช้น้ำชลประทาน (JMC) คือองค์กรที่เกษตรกรผู้ใช้น้ำรวมตัวเพื่อร่วมบริหารจัดการน้ำ มีบทบาทในการวางแผนจัดสรรน้ำ ดูแลบำรุงรักษาระบบ และประสานงานกับหน่วยงานชลประทาน,ระบุความหมายของ JMC|บทบาทในการบริหารน้ำ|การมีส่วนร่วมของเกษตรกร,
G3,กรมชลประทานก่อตั้งเมื่อใด และมีพัฒนาการอย่างไร?,กรมชลประทานก่อตั้งในปี พ.ศ. 2457 ในรัชสมัยพระบาทสมเด็จพระมงกุฎเกล้าเจ้าอยู่หัว เริ่มต้นจากการพัฒนาระบบชลประทานในภาคกลาง และขยายโครงข่ายทั่วประเทศในเวลาต่อมา,ปีก่อตั้ง|ยุคสมัยที่ก่อตั้ง|พัฒนาการขยายงาน,
G4,พระราชบัญญัติการชลประทานหลวง พ.ศ. 2485 กำหนดสิทธิ์และหน้าที่ของเกษตรกรอย่างไร?,พ.ร.บ. การชลประทานหลวง พ.ศ. 2485 กำหนดสิทธิ์ในการใช้น้ำของเกษตรกร หน้าที่ปฏิบัติตามระเบียบการส่งน้ำ ห้ามกีดขวางทางน้ำสาธารณะ และบทลงโทษผู้ฝ่าฝืน,ระบุกฎหมายที่เกี่ยวข้อง|สิทธิ์ในการใช้น้ำ|หน้าที่และบทลงโทษ,
G5,แผนจัดสรรน้ำฤดูแล้งของกรมชลประทานวางแผนอย่างไร?,การจัดสรรน้ำฤดูแล้งพิจารณาจากปริมาณน้ำต้นทุนในอ่างเก็บน้ำ ความต้องการน้ำของแต่ละภาคส่วน และลำดับความสำคัญ (อุปโภคบริโภค อุตสาหกรรม เกษตร) โดยประกาศแผนล่วงหน้า,ปริมาณน้ำต้นทุน|ลำดับความสำคัญการใช้น้ำ|การประกาศแผนล่วงหน้า,
G6,ระบบเตือนภัยน้ำท่วมของกรมชลประทานทำงานอย่างไร?,ระบบใช้ข้อมูลจากสถานีวัดน้ำและสถานีตรวจวัดฝนอัตโนมัติ เมื่อระดับน้ำถึงเกณฑ์แจ้งเตือนจะส่งสัญญาณแจ้งเจ้าหน้าที่และประชาชนผ่าน SMS และแอปพลิเคชัน,ที่มาของข้อมูลสถานีวัดน้ำ|เกณฑ์แจ้งเตือน|ช่องทางแจ้งเตือนประชาชน,
G7,ความแตกต่างระหว่างอ่างเก็บน้ำขนาดใหญ่ กลาง และเล็ก คืออะไร?,อ่างเก็บน้ำขนาดใหญ่มีความจุตั้งแต่ 100 ล้าน ลบ.ม. ขึ้นไป ขนาดกลาง 1–100 ล้าน ลบ.ม. และขนาดเล็กน้อยกว่า 1 ล้าน ลบ.ม. แต่ละขนาดมีหน่วยงานและกระบวนการดูแลแตกต่างกัน,เกณฑ์แบ่งขนาด|หน่วยงานรับผิดชอบ|ความแตกต่างในการบริหาร,
G8,โครงการพระราชดำริด้านน้ำของในหลวงรัชกาลที่ 9 มีแนวคิดสำคัญอะไรบ้าง?,แนวคิดสำคัญได้แก่ การทำฝนหลวงแก้ปัญหาภัยแล้ง โครงการแก้มลิงรับน้ำหลาก ฝายชะลอน้ำในพื้นที่สูง และโครงการพัฒนาลุ่มน้ำแบบบูรณาการ เพื่อแก้ปัญหาน้ำท่วมและภัยแล้งอย่างยั่งยืน,ฝนหลวง|แก้มลิง|ฝายชะลอน้ำ,
G9,กรมชลประทานใช้เทคโนโลยีอะไรในการติดตามสถานการณ์น้ำ?,กรมชลประทานใช้ระบบ Telemetry ส่งข้อมูลจากสถานีวัดน้ำอัตโนมัติแบบ real-time ระบบ GIS สำหรับวิเคราะห์พื้นที่ และ Dashboard แสดงสถานการณ์น้ำในอ่างเก็บน้ำและแม่น้ำทั่วประเทศ,Telemetry/real-time|ระบบ GIS|Dashboard สถานการณ์น้ำ,
G10,การบำรุงรักษาคลองชลประทานมีกระบวนการอย่างไร?,การบำรุงรักษาคลองแบ่งเป็นการบำรุงรักษาเชิงป้องกัน (ขุดลอก ซ่อมแซมฝาย ตัดวัชพืช) และการซ่อมแซมฉุกเฉิน โดยมีแผนประจำปีและเกษตรกรกลุ่มผู้ใช้น้ำร่วมดูแลบางส่วน,การบำรุงรักษาเชิงป้องกัน|การซ่อมฉุกเฉิน|การมีส่วนร่วมของเกษตรกร,
